COL_DATA,COL_RECEITA,COL_CUSTO,COL_CATEGORIA,COL_REGIAO,DISTANCIA,UNIDADE
2025-06-23,6606,3454,Roupas,Leste,451.75,km
2024-09-30,7596,6527,Roupas,Oeste,475.87,km
2025-06-05,703,591,Serviços,Sul,430.31,mi
2025-01-15,1169,1036,Miscelânea,Norte,69.89,mi
2025-10-20,5670,2309,Miscelânea,Leste,259.85,mi
2025-08-06,206,76,Miscelânea,Sul,473.22,mi
2024-07-02,288,115,Alimentos,Centro,146.19,km
2025-07-17,9605,2756,Miscelânea,Norte,93.7,mi
2025-09-26,3481,2671,Alimentos,Leste,498.1,km
2024-05-04,3374,2801,Serviços,Leste,40.67,km
2025-11-29,9971,3929,Miscelânea,Centro,212.39,mi
2025-09-28,1127,644,Roupas,Centro,344.99,km
2024-03-22,7139,2912,Serviços,Norte,240.78,mi
2024-07-07,9718,8644,Miscelânea,Sul,115.84,km
2025-02-10,2789,1023,Alimentos,Norte,50.2,km
2025-06-18,6743,4022,Miscelânea,Centro,84.28,mi
2025-08-11,8841,5197,Roupas,Centro,489.96,mi
2025-11-16,7167,2876,Roupas,Norte,167.09,mi
2024-09-24,665,232,Miscelânea,Oeste,40.59,km
2025-02-11,6597,5592,Miscelânea,Sul,214.92,km
2024-03-29,5373,2954,Alimentos,Oeste,188.42,mi
2024-11-30,1009,482,Serviços,Leste,458.58,km
2025-10-22,3601,3127,Roupas,Oeste,82.74,km
2025-02-01,5433,4816,Miscelânea,Sul,328.45,mi
2024-07-24,4756,1982,Roupas,Sul,375.88,km
2025-12-29,8009,5921,Roupas,Leste,106.86,mi
2024-10-03,5201,2508,Roupas,Oeste,360.82,km
2025-11-04,2217,1389,Serviços,Norte,405.26,mi
2025-09-02,2973,912,Alimentos,Sul,411.19,km
2025-06-27,5562,2505,Miscelânea,Sul,8.81,km
2025-12-27,1898,7547,Alimentos,Leste,104.29,km
2024-05-13,6275,5635,Serviços,Centro,458.02,mi
2024-10-08,8246,2802,Miscelânea,Norte,340.66,km
2024-05-21,2509,1119,Alimentos,Oeste,129.99,km
2024-11-18,7854,7065,Serviços,Norte,247.33,mi
2025-12-11,7402,6183,Serviços,Norte,300.16,km
2025-07-19,1568,6621,Eletrônicos,Oeste,95.1,km
2024-08-26,9428,7574,Eletrônicos,Centro,493.86,mi
2025-12-18,7797,3173,Roupas,Centro,194.11,mi
2024-07-31,3983,1556,Miscelânea,Centro,404.62,km
2025-01-13,4126,2282,Alimentos,Oeste,40.27,mi
2024-07-18,2241,1505,Serviços,Norte,144.55,km
2024-11-09,9658,8277,Alimentos,Norte,304.18,mi
2024-07-21,3503,1569,Roupas,Sul,261.12,km
2024-08-30,5419,4566,Alimentos,Sul,449.44,km
2024-05-18,9069,7509,Serviços,Leste,163.96,km
2024-01-16,9268,7900,Alimentos,Norte,273.41,km
2025-08-17,3372,1985,Eletrônicos,Leste,329.69,km
2024-01-19,3425,2189,Alimentos,Centro,344.6,km
2024-07-26,1436,1071,Miscelânea,Leste,167.12,km
2024-12-24,2308,1175,Serviços,Oeste,292.36,km
2025-05-11,1544,1104,Roupas,Norte,484.11,mi
2024-03-24,2553,1232,Eletrônicos,Leste,31.14,km
2025-10-21,3726,3103,Serviços,Centro,132.48,km
2024-12-29,2058,1052,Miscelânea,Centro,275.36,km
2025-05-21,8942,4414,Eletrônicos,Centro,319.0,km
2024-07-08,7856,2932,Eletrônicos,Oeste,125.6,km
2024-06-25,5964,4562,Miscelânea,Sul,253.64,km
2025-09-07,9576,6163,Miscelânea,Norte,127.39,mi
2024-10-26,5727,2789,Serviços,Centro,75.59,mi
2025-11-10,5222,2138,Eletrônicos,Norte,337.15,km
2025-06-25,8707,6191,Eletrônicos,Sul,177.22,km
2025-06-24,1695,666,Alimentos,Oeste,51.32,km
2025-05-03,8671,4446,Alimentos,Sul,46.46,km
2024-01-07,7637,5672,Roupas,Norte,483.47,mi
2024-01-03,1229,985,Roupas,Centro,110.57,mi
2024-07-02,754,3263,Alimentos,Leste,460.0,km
2025-08-29,1444,797,Miscelânea,Norte,343.39,mi
2025-10-24,1249,994,Roupas,Sul,363.74,mi
2024-11-17,646,509,Alimentos,Norte,38.68,mi
2024-08-23,8667,5165,Alimentos,Sul,291.03,km
2024-09-11,9796,6927,Alimentos,Leste,491.29,km
2024-12-21,7166,4683,Roupas,Sul,353.94,km
2025-03-07,8816,6303,Eletrônicos,Centro,231.88,km
2024-01-16,3871,2858,Alimentos,Norte,379.86,km
2025-08-29,9361,8286,Serviços,Oeste,344.81,mi
2025-07-25,1893,1554,Roupas,Oeste,49.61,km
2025-07-18,6450,4797,Miscelânea,Centro,109.9,mi
2024-12-09,3023,1543,Roupas,Leste,148.03,km
2025-04-19,4673,1739,Roupas,Centro,325.79,mi
2025-03-05,3394,2556,Eletrônicos,Oeste,39.41,mi
2024-09-05,9330,4235,Alimentos,Centro,143.1,km
2024-01-22,3850,1896,Eletrônicos,Oeste,238.09,mi
2024-07-18,4447,2737,Serviços,Sul,76.86,km
2024-06-27,8021,3016,Eletrônicos,Norte,425.36,mi
2024-09-04,8589,6609,Alimentos,Sul,79.32,km
2024-09-13,5362,3768,Miscelânea,Leste,388.36,mi
2025-09-12,2586,1026,Serviços,Norte,489.42,mi
2024-02-06,4605,2411,Miscelânea,Oeste,433.54,km
2024-04-27,3669,2050,Eletrônicos,Norte,460.27,mi
2025-06-23,7423,2919,Miscelânea,Norte,417.28,km
2024-05-26,7052,3024,Alimentos,Norte,169.99,mi
2025-08-16,6162,4139,Alimentos,Oeste,139.85,km
2024-03-25,696,518,Roupas,Sul,221.34,km
2025-11-06,8439,2912,Roupas,Leste,220.84,km
2025-03-02,4517,1645,Miscelânea,Centro,76.42,km
2024-05-21,8914,7769,Eletrônicos,Oeste,437.01,km
2024-11-30,3767,2249,Roupas,Norte,362.53,mi
2024-09-14,6091,3595,Miscelânea,Centro,128.82,km
2024-11-05,8176,3432,Roupas,Norte,423.88,mi
2024-02-08,9412,3423,Miscelânea,Centro,356.18,mi
2024-06-16,5425,2167,Serviços,Norte,173.2,km
2024-01-24,9127,4251,Miscelânea,Sul,388.28,km
2024-10-02,5918,1835,Serviços,Oeste,182.61,km
2024-01-15,4669,1457,Eletrônicos,Oeste,148.42,mi
2025-08-20,7964,6211,Eletrônicos,Leste,381.3,km
2025-08-02,8799,4836,Serviços,Norte,346.52,km
2024-09-08,9712,5521,Miscelânea,Oeste,182.35,km
2025-11-26,7783,4793,Eletrônicos,Norte,459.3,km
2025-07-20,8078,2511,Roupas,Centro,353.18,mi
2024-12-27,5127,6455,Eletrônicos,Centro,135.88,km
2024-01-24,5688,3140,Serviços,Oeste,116.38,km
2024-06-06,6047,2817,Serviços,Oeste,143.98,km
2024-05-13,6260,3255,Eletrônicos,Leste,349.37,mi
2025-04-12,9257,4219,Serviços,Centro,181.18,km
2024-12-28,3719,2098,Roupas,Oeste,338.85,km
2024-10-18,821,477,Miscelânea,Centro,297.33,mi
2024-08-20,9858,3799,Alimentos,Leste,316.09,mi
2025-06-20,7881,4291,Miscelânea,Centro,76.61,km
2024-09-12,6447,5601,Eletrônicos,Sul,174.62,km
2025-05-06,1986,765,Serviços,Centro,402.11,km
2025-12-26,2384,1710,Roupas,Centro,199.03,km
2024-08-07,599,483,Serviços,Leste,498.66,mi
2024-12-05,7844,4645,Roupas,Norte,485.98,mi
2025-06-06,9766,5710,Miscelânea,Leste,164.08,mi
2024-09-07,7855,6849,Eletrônicos,Oeste,204.06,mi
2024-11-04,6755,4502,Eletrônicos,Norte,498.8,mi
2024-09-06,2998,1989,Miscelânea,Leste,46.12,mi
2024-04-22,3068,1934,Serviços,Sul,315.84,km
2025-04-25,7322,5841,Miscelânea,Centro,475.85,mi
2025-04-09,2004,801,Miscelânea,Oeste,286.49,km
2024-04-20,7333,4250,Miscelânea,Leste,19.19,mi
2024-08-28,572,409,Eletrônicos,Centro,77.69,mi
2025-06-20,5560,4547,Miscelânea,Norte,296.9,km
2025-11-21,2074,1170,Roupas,Leste,273.47,km
2025-10-03,7961,4581,Alimentos,Sul,258.94,km
2025-04-29,9485,6848,Serviços,Centro,226.3,km
2024-06-20,4709,2803,Alimentos,Norte,487.19,mi
2025-11-20,6175,2319,Alimentos,Leste,233.3,mi
2025-12-31,1793,646,Serviços,Leste,469.94,km
2025-01-04,2254,2007,Serviços,Norte,277.98,mi
2024-10-23,5563,3878,Eletrônicos,Centro,291.6,mi
2025-10-12,5845,5754,Eletrônicos,Norte,296.23,mi
2024-06-10,3226,6272,Miscelânea,Norte,44.78,mi
2024-08-31,9259,4989,Roupas,Leste,252.68,mi
2025-05-21,9210,3845,Eletrônicos,Oeste,453.9,km
2025-08-21,7314,5544,Serviços,Norte,114.65,km
2024-06-08,9052,2927,Miscelânea,Norte,35.87,mi
2024-11-02,4354,1333,Miscelânea,Sul,304.91,mi
2024-04-12,959,788,Eletrônicos,Sul,233.65,km
2025-06-01,9100,1715,Roupas,Norte,79.11,km
2025-05-12,636,373,Serviços,Leste,232.79,mi
2024-08-24,9872,8755,Miscelânea,Sul,375.02,km
2024-10-28,1802,832,Serviços,Centro,318.88,mi
2024-04-28,2557,1427,Roupas,Leste,475.29,km
2024-07-14,3037,915,Miscelânea,Sul,6.19,km
2024-10-27,3065,1160,Eletrônicos,Oeste,277.73,mi
2024-01-29,5177,2785,Eletrônicos,Oeste,132.82,mi
2025-01-30,8748,5461,Serviços,Sul,230.73,mi
2024-02-28,9616,2184,Eletrônicos,Sul,369.98,mi
2025-01-20,3656,2953,Eletrônicos,Leste,40.82,mi
2025-07-22,6075,5360,Roupas,Norte,157.94,km
2025-06-28,3103,1644,Roupas,Sul,449.79,mi
2024-03-12,3395,2986,Eletrônicos,Norte,123.99,mi
2025-03-24,2469,1638,Alimentos,Oeste,86.95,km
2024-05-17,8213,6837,Miscelânea,Centro,320.91,mi
2025-12-14,3948,3336,Roupas,Centro,144.36,km
2024-04-25,5684,4459,Serviços,Centro,267.59,mi
2025-12-17,1659,7770,Eletrônicos,Oeste,107.83,mi
2025-04-20,4753,2571,Roupas,Leste,41.99,km
2024-05-17,963,439,Miscelânea,Sul,269.84,mi
2025-12-11,8027,4784,Alimentos,Leste,76.82,mi
2024-02-18,5140,3767,Miscelânea,Centro,450.39,km
2024-07-29,8819,3843,Eletrônicos,Centro,293.0,mi
2024-06-09,9875,5750,Miscelânea,Sul,129.54,mi
2024-08-21,964,730,Roupas,Sul,346.73,mi
2025-10-06,3085,1951,Alimentos,Centro,300.34,mi
2025-08-21,1979,1307,Alimentos,Sul,64.16,km
2024-10-07,8223,4273,Miscelânea,Leste,403.48,mi
2025-05-18,1317,918,Serviços,Leste,131.56,mi
2025-09-06,6511,4851,Serviços,Oeste,278.5,km
2025-12-15,3561,3140,Miscelânea,Oeste,45.32,km
2024-05-05,8362,4846,Roupas,Leste,285.8,mi
2024-10-29,8386,4578,Alimentos,Centro,327.99,km
2024-07-12,6167,3258,Serviços,Leste,99.75,mi
2024-04-09,1950,947,Roupas,Sul,238.39,mi
2024-11-12,340,111,Serviços,Centro,479.12,mi
2024-06-28,7702,5574,Serviços,Leste,499.61,mi
2024-06-25,8153,6374,Alimentos,Oeste,293.61,km
2025-05-17,4754,3035,Serviços,Leste,16.17,mi
2025-01-22,4389,3401,Serviços,Oeste,46.82,km
2024-07-11,9762,3965,Alimentos,Sul,355.08,km
2025-12-03,9300,3037,Serviços,Centro,274.47,km
2024-12-19,3328,2535,Miscelânea,Leste,311.71,km
2025-02-25,6384,3560,Eletrônicos,Oeste,315.27,km
2024-04-16,2428,2146,Roupas,Leste,420.68,mi
2025-05-31,3462,1065,Roupas,Norte,146.07,km
2024-11-27,5382,1625,Roupas,Oeste,39.64,km
2025-06-17,4222,2243,Miscelânea,Sul,375.33,mi
2025-03-25,7455,6406,Eletrônicos,Sul,217.12,km
2024-10-18,8747,6860,Eletrônicos,Oeste,288.74,mi
2024-02-20,1401,778,Miscelânea,Sul,52.52,mi
2025-04-27,6697,3630,Miscelânea,Sul,426.36,mi
2024-11-30,9598,5614,Serviços,Oeste,82.12,mi
2024-12-07,7512,5872,Miscelânea,Norte,127.25,km
2025-01-13,5636,2209,Miscelânea,Sul,297.96,mi
2025-12-19,5178,2486,Serviços,Sul,373.6,km
2025-02-10,8602,2652,Serviços,Oeste,40.57,km
2024-12-17,7613,3683,Roupas,Leste,135.53,mi
2025-01-28,9328,6758,Eletrônicos,Norte,255.65,mi
2024-01-10,3086,6345,Alimentos,Oeste,255.31,mi
2024-03-11,1877,4835,Serviços,Norte,281.17,km
2025-09-04,2380,1135,Alimentos,Oeste,90.65,km
2025-01-18,3535,2559,Alimentos,Sul,263.86,mi
2024-10-10,1242,444,Alimentos,Leste,135.3,km
2024-10-24,2123,842,Roupas,Leste,496.49,km
2024-04-17,7596,3208,Miscelânea,Sul,415.12,km
2025-05-09,6208,4601,Eletrônicos,Sul,39.75,km
2025-02-04,6369,3484,Eletrônicos,Norte,414.92,mi
2025-07-31,9613,7864,Eletrônicos,Sul,328.41,km
2024-10-07,8085,5099,Eletrônicos,Norte,206.69,mi
2025-03-07,9757,7126,Serviços,Oeste,371.82,mi
2025-06-11,6894,6036,Alimentos,Norte,461.77,mi
2025-10-23,7891,4859,Roupas,Norte,325.92,km
2025-04-14,4956,2099,Serviços,Oeste,274.79,km
2025-01-20,7124,6278,Eletrônicos,Leste,423.31,km
2024-08-24,5085,2624,Miscelânea,Oeste,10.29,km
2025-09-15,9164,1218,Serviços,Sul,249.18,mi
2024-08-31,4149,3613,Eletrônicos,Oeste,52.81,mi
2024-06-23,7151,4422,Alimentos,Norte,63.16,km
2024-12-30,591,385,Alimentos,Sul,215.87,mi
2025-01-27,4330,3797,Alimentos,Oeste,71.36,km
2024-11-06,140,56,Alimentos,Centro,221.52,mi
2024-08-29,4676,2203,Eletrônicos,Centro,341.55,mi
2025-05-13,1350,1100,Alimentos,Oeste,419.21,mi
2025-02-23,7544,3591,Serviços,Centro,104.57,mi
2024-03-16,2540,1480,Alimentos,Leste,383.3,mi
2024-11-13,4864,1852,Serviços,Centro,202.4,mi
2025-07-22,1536,740,Alimentos,Oeste,458.36,mi
2024-10-02,4761,2969,Miscelânea,Sul,288.13,mi
2025-10-26,2930,2376,Serviços,Norte,14.29,km
2025-03-25,7264,2669,Roupas,Centro,401.83,km
2024-03-05,3167,2586,Miscelânea,Norte,498.57,km
2024-03-05,8595,3192,Roupas,Leste,69.14,mi
2025-06-19,774,352,Serviços,Oeste,68.88,mi
2025-05-27,7885,2464,Eletrônicos,Oeste,196.86,km
2025-09-25,9509,6052,Serviços,Oeste,470.62,km
2024-02-03,6795,3113,Miscelânea,Oeste,10.27,km
2024-07-08,8510,4330,Eletrônicos,Centro,319.62,km
2024-05-07,775,454,Serviços,Norte,168.25,mi
2024-07-13,1151,405,Alimentos,Centro,439.28,mi
2025-11-20,450,377,Serviços,Oeste,453.64,mi
2024-05-27,4114,2261,Eletrônicos,Norte,174.01,mi
2025-05-10,8371,6972,Eletrônicos,Norte,383.2,mi
2024-08-27,6980,6665,Miscelânea,Sul,187.07,mi
2024-10-21,8672,5581,Serviços,Leste,147.81,km
2025-07-19,2442,972,Miscelânea,Centro,104.11,km
2025-11-08,8166,7147,Miscelânea,Leste,327.03,km
2025-01-09,915,811,Eletrônicos,Sul,40.29,mi
2024-11-29,1127,690,Roupas,Oeste,15.09,km
2025-07-28,5235,1997,Serviços,Norte,379.08,mi
2024-10-14,8731,6079,Miscelânea,Leste,86.99,mi
2025-01-07,8397,4099,Roupas,Norte,216.09,km
2024-09-14,3992,7142,Serviços,Oeste,458.75,km
2025-03-04,6425,2968,Miscelânea,Sul,90.74,mi
2025-11-02,8287,4934,Roupas,Norte,148.54,mi
2024-01-20,1452,607,Eletrônicos,Sul,92.95,km
2025-04-15,7977,2936,Roupas,Sul,271.84,mi
2024-10-09,358,5260,Serviços,Sul,345.38,mi
2024-09-21,182,148,Miscelânea,Norte,149.51,km
2025-06-24,5584,2890,Eletrônicos,Norte,452.38,mi
2025-10-24,1685,1165,Serviços,Sul,180.53,km
2024-02-18,9381,5723,Serviços,Oeste,209.95,km
2024-05-23,7402,7550,Eletrônicos,Norte,219.0,mi
2024-12-11,5057,2799,Alimentos,Oeste,189.38,km
2024-02-11,663,521,Serviços,Leste,187.29,km
2024-11-28,7668,3343,Alimentos,Oeste,325.57,mi
2024-05-06,9741,3810,Serviços,Leste,69.78,mi
2025-01-06,5646,3121,Serviços,Oeste,331.97,km
2025-05-16,3675,1105,Alimentos,Norte,150.61,km
2024-03-24,6760,3468,Eletrônicos,Norte,420.17,km
2024-07-26,7218,5464,Serviços,Oeste,315.54,mi
2024-08-14,461,272,Serviços,Centro,91.38,km
2024-02-24,8347,2815,Serviços,Centro,154.46,km
2024-03-31,3829,1540,Miscelânea,Leste,400.6,mi
2025-07-11,1688,970,Miscelânea,Leste,493.21,km
2025-07-14,9326,5412,Roupas,Centro,353.03,mi
2024-02-26,1888,1650,Miscelânea,Leste,140.41,km
2024-06-05,1907,1478,Miscelânea,Centro,260.04,km
2025-02-27,3759,1879,Eletrônicos,Norte,407.72,mi
2024-06-18,2905,1057,Serviços,Leste,476.41,mi
2024-04-24,2261,1209,Eletrônicos,Norte,469.01,km
2024-09-22,2236,1377,Alimentos,Leste,330.63,km
2025-06-28,1471,679,Serviços,Norte,6.79,mi
2024-07-10,9736,4915,Roupas,Oeste,200.53,mi
2025-06-05,4336,1724,Alimentos,Centro,427.31,mi
2024-03-24,7811,5788,Serviços,Leste,38.28,km
2024-07-02,5240,2822,Alimentos,Centro,291.97,km
2025-05-23,2017,1399,Roupas,Leste,93.24,km
2025-08-11,3968,2623,Miscelânea,Leste,116.82,mi
2025-12-06,9619,6159,Serviços,Oeste,438.62,km
2025-06-13,7577,4081,Alimentos,Oeste,377.86,mi
2025-04-13,8031,5333,Roupas,Oeste,115.61,km
2025-05-23,2943,999,Roupas,Norte,91.44,km
2025-12-15,2914,960,Alimentos,Norte,324.59,km
2024-09-06,5605,4617,Alimentos,Leste,297.34,mi
2024-10-06,3864,3073,Miscelânea,Leste,260.47,km
2025-06-06,1112,853,Miscelânea,Leste,204.17,mi
2025-01-07,2479,1143,Alimentos,Norte,403.85,km
2024-08-25,9056,3415,Serviços,Leste,26.93,mi
2024-06-14,7188,6461,Alimentos,Sul,205.34,km
2025-01-24,8890,5872,Miscelânea,Oeste,217.99,km
2024-06-08,9439,3172,Alimentos,Sul,75.55,mi
2025-02-13,7705,6200,Serviços,Oeste,115.57,mi
2024-03-21,4244,2839,Roupas,Centro,261.01,mi
2025-01-22,614,487,Roupas,Sul,373.41,mi
2024-02-20,8033,4599,Eletrônicos,Centro,319.37,km
2024-03-05,1701,1227,Roupas,Norte,318.08,km
2024-02-14,6793,3396,Miscelânea,Sul,403.47,km
2024-06-28,1718,725,Roupas,Oeste,409.4,km
2024-07-20,1797,1428,Alimentos,Centro,201.77,mi
2025-01-06,4202,2714,Alimentos,Centro,200.32,km
2024-07-16,1450,957,Miscelânea,Sul,434.62,km
2024-01-29,5801,4669,Roupas,Oeste,240.23,km
2025-04-20,6386,7059,Serviços,Sul,436.05,mi
2024-08-23,5995,2848,Alimentos,Sul,173.55,mi
2025-09-21,8389,7096,Eletrônicos,Sul,266.23,mi
2025-07-26,3382,2465,Serviços,Norte,345.7,mi
2025-07-03,3009,2689,Serviços,Leste,92.28,mi
2024-09-02,260,166,Eletrônicos,Oeste,279.33,km
2025-09-24,3266,2513,Eletrônicos,Oeste,467.61,km
2024-04-15,5383,3419,Eletrônicos,Oeste,274.54,km
2025-11-06,6343,2664,Roupas,Sul,115.8,mi
2024-02-14,3666,5636,Eletrônicos,Leste,68.04,mi
2024-03-01,2359,1635,Alimentos,Sul,416.03,mi
2024-03-04,2407,1292,Roupas,Oeste,142.7,mi
2025-11-22,2075,1181,Eletrônicos,Leste,461.21,mi
2025-06-29,1206,1018,Alimentos,Norte,362.38,mi
2025-04-22,3968,3244,Alimentos,Oeste,174.28,mi
2024-07-23,4637,1951,Miscelânea,Centro,182.82,km
2025-06-10,1597,577,Roupas,Leste,53.46,km
2025-04-14,8837,3593,Alimentos,Sul,446.97,km
2025-06-08,8334,6220,Eletrônicos,Oeste,307.77,km
2025-11-02,6130,2166,Alimentos,Centro,383.41,km
2024-09-29,3205,1976,Roupas,Centro,364.63,mi
2024-02-11,5357,4706,Serviços,Sul,232.7,km
2025-04-22,7201,2684,Roupas,Centro,297.38,km
2025-09-12,140,47,Miscelânea,Norte,349.45,km
2024-05-07,9124,4424,Miscelânea,Leste,480.11,mi
2024-08-28,8291,4472,Roupas,Oeste,305.72,km
2024-04-28,8153,3156,Roupas,Centro,493.9,km
2025-02-03,8856,3193,Miscelânea,Leste,314.49,km
2025-01-19,9312,6149,Roupas,Sul,265.23,km
2025-04-13,8174,5308,Roupas,Oeste,424.83,mi
2025-10-07,1942,1646,Roupas,Oeste,341.49,km
2025-08-05,8369,4404,Eletrônicos,Norte,18.01,mi
2024-09-17,1403,669,Miscelânea,Norte,185.28,km
2025-04-24,2911,2145,Serviços,Norte,359.33,mi
2025-10-04,9180,7856,Serviços,Centro,84.99,km
2025-08-23,7651,5078,Miscelânea,Centro,414.13,km
2024-01-29,858,655,Eletrônicos,Norte,128.61,km
2025-01-08,6453,5768,Eletrônicos,Norte,355.75,km
2025-04-22,8028,4873,Serviços,Oeste,363.52,km
2024-06-18,5752,4704,Roupas,Centro,207.7,km
2024-11-17,8441,7326,Serviços,Centro,221.15,km
2025-11-29,4678,3289,Serviços,Sul,14.38,km
2024-08-03,8532,6506,Serviços,Leste,469.41,km
2025-10-12,9139,3041,Roupas,Sul,53.15,km
2025-02-13,8376,4081,Serviços,Sul,349.32,mi
2025-01-12,7711,3959,Roupas,Centro,147.72,km
2024-12-02,2512,1278,Eletrônicos,Sul,117.82,km
2024-09-28,2966,1957,Miscelânea,Sul,257.2,km
2025-01-19,5356,2744,Eletrônicos,Norte,197.56,km
2025-05-07,2041,1049,Eletrônicos,Sul,264.4,km
2025-11-03,6015,3907,Eletrônicos,Sul,305.89,mi
2025-01-31,6480,3116,Roupas,Norte,94.43,km
2024-10-08,2774,2139,Miscelânea,Centro,444.01,mi
2024-11-24,4338,2729,Miscelânea,Sul,171.16,mi
2024-09-19,3457,1123,Miscelânea,Leste,83.66,mi
2025-07-18,8254,2781,Alimentos,Oeste,9.36,mi
2024-05-09,2563,1065,Serviços,Oeste,426.89,mi
2025-10-08,1988,981,Miscelânea,Norte,364.53,mi
2025-03-12,5418,1788,Roupas,Oeste,290.32,mi
2025-01-25,4839,5921,Alimentos,Sul,96.96,km
2024-10-05,571,290,Alimentos,Norte,156.84,km
2025-10-22,6161,5433,Serviços,Sul,155.41,km
2025-06-13,5344,313,Serviços,Sul,1.12,mi
2024-05-08,8031,3851,Miscelânea,Norte,214.19,mi
2024-09-24,3928,1886,Miscelânea,Centro,254.07,km
2024-06-13,9186,7509,Serviços,Oeste,117.47,mi
2025-06-23,9384,5986,Miscelânea,Centro,391.31,mi
2025-06-10,4008,2501,Miscelânea,Centro,237.69,mi
2024-02-11,4308,3472,Alimentos,Leste,85.91,mi
2025-09-21,5097,3375,Serviços,Sul,450.09,mi
2025-10-27,6526,4219,Serviços,Leste,354.77,km
2025-11-16,9122,5470,Miscelânea,Norte,341.17,km
2024-01-05,550,211,Alimentos,Sul,31.48,mi
2025-07-20,8234,5882,Miscelânea,Norte,457.1,mi
2024-07-17,1539,640,Serviços,Leste,100.63,mi
2025-03-07,6347,2936,Miscelânea,Norte,279.64,mi
2024-05-13,4013,862,Serviços,Norte,29.0,km
2025-01-15,7742,545,Eletrônicos,Centro,333.53,km
2025-01-30,8403,5896,Roupas,Centro,191.69,km
2024-01-05,8875,3675,Eletrônicos,Norte,178.12,km
2025-12-31,4006,2867,Alimentos,Centro,128.73,mi
2025-12-16,8036,4069,Serviços,Sul,121.61,mi
2025-11-22,6831,4177,Eletrônicos,Norte,411.07,km
2024-08-17,3123,1713,Roupas,Centro,54.78,mi
2025-03-06,3288,2472,Eletrônicos,Norte,156.22,mi
2024-03-16,2353,1118,Serviços,Sul,260.65,km
2024-06-16,1369,760,Roupas,Sul,11.34,mi
2025-09-25,1401,703,Alimentos,Norte,52.02,km
2024-11-13,2349,1317,Miscelânea,Sul,416.4,km
2025-10-24,5994,2130,Serviços,Sul,345.44,km
2024-05-03,5176,2042,Eletrônicos,Leste,37.84,mi
2024-11-28,9541,7092,Miscelânea,Oeste,234.35,mi
2025-06-30,846,578,Roupas,Leste,170.08,mi
2025-04-13,4678,3160,Alimentos,Sul,170.43,mi
2025-04-26,5996,2416,Eletrônicos,Centro,481.48,mi
2025-11-29,1882,4951,Eletrônicos,Oeste,49.54,km
2025-03-05,8892,3758,Alimentos,Sul,247.38,km
2024-07-01,9599,2959,Alimentos,Norte,446.58,km
2025-04-04,7374,6044,Roupas,Sul,253.11,km
2025-06-01,2639,1097,Roupas,Centro,489.03,km
2024-05-11,742,495,Eletrônicos,Oeste,14.18,mi
2024-01-27,8193,5983,Miscelânea,Leste,198.18,km
2024-01-12,9821,3965,Eletrônicos,Norte,58.7,mi
2025-05-21,3173,2006,Eletrônicos,Oeste,23.25,mi
2024-10-12,8935,6272,Miscelânea,Norte,109.09,km
2024-06-13,3703,2786,Alimentos,Norte,205.85,km
2024-11-27,6629,3916,Alimentos,Leste,174.25,mi
