idade,escolaridade,estado_civil,gastos_mensais,cidade,genero,renda
35,Médio,Solteiro,2309.7,Rio de Janeiro,Feminino,5722.39
64,Médio,Divorciado,2946.3,Porto Alegre,Feminino,6228.51
41,Médio,Divorciado,2161.36,Rio de Janeiro,Masculino,6119.03
43,Médio,Casado,2391.2,São Paulo,Feminino,5529.74
42,Médio,Solteiro,2290.74,Porto Alegre,Feminino,2867.42
62,Médio,Divorciado,2831.19,Rio de Janeiro,Masculino,5771.02
58,Superior,Divorciado,3350.01,Rio de Janeiro,Masculino,8405.88
46,Superior,Divorciado,2560.23,Porto Alegre,Feminino,6792.69
32,Médio,Casado,2040.1,São Paulo,Feminino,5796.69
62,Pós-graduação,Casado,3826.76,Porto Alegre,Feminino,8414.09
18,Pós-graduação,Casado,2325.62,Rio de Janeiro,Masculino,6718.07
42,Médio,Divorciado,2452.19,São Paulo,Feminino,3134.53
24,Médio,Casado,2258.55,Salvador,Feminino,4062.65
26,Médio,Divorciado,2163.42,Belo Horizonte,Masculino,3200.85
41,Pós-graduação,Solteiro,3145.22,Porto Alegre,Feminino,5796.22
18,Superior,Divorciado,2239.32,Rio de Janeiro,Masculino,6162.73
61,Fundamental,Casado,3083.02,São Paulo,Masculino,7469.55
25,Médio,Solteiro,1785.75,São Paulo,Feminino,5117.27
41,Médio,Divorciado,2222.8,Salvador,Masculino,4724.92
28,Médio,Solteiro,1943.13,Porto Alegre,Masculino,4333.4
68,Fundamental,Solteiro,3793.77,São Paulo,Feminino,3669.37
34,Superior,Solteiro,2597.2,Salvador,Masculino,6921.16
25,Superior,Divorciado,1869.77,Rio de Janeiro,Feminino,4958.26
52,Superior,Casado,2746.11,Salvador,Masculino,5396.01
52,Superior,Divorciado,3008.64,Porto Alegre,Masculino,5628.9
50,Superior,Casado,2625.93,Salvador,Feminino,5643.24
22,Médio,Divorciado,1620.24,São Paulo,Feminino,5600.41
59,Superior,Divorciado,3937.56,São Paulo,Feminino,7993.83
56,Fundamental,Divorciado,2526.57,Belo Horizonte,Masculino,4121.5
58,Superior,Casado,2913.81,Salvador,Feminino,5872.85
45,Fundamental,Divorciado,2287.73,Rio de Janeiro,Masculino,7744.37
24,Superior,Solteiro,2188.82,Porto Alegre,Feminino,5053.04
26,Médio,Divorciado,1483.35,Belo Horizonte,Masculino,2868.18
25,Fundamental,Solteiro,1378.49,Salvador,Feminino,1628.13
29,Fundamental,Casado,2276.88,Rio de Janeiro,Masculino,2774.31
51,Fundamental,Casado,2680.23,Belo Horizonte,Feminino,3433.11
50,Superior,Divorciado,2855.18,São Paulo,Masculino,7095.84
65,Superior,Divorciado,3103.38,Porto Alegre,Masculino,7859.41
40,Médio,Divorciado,2044.77,Salvador,Masculino,4616.07
41,Fundamental,Solteiro,1862.19,Rio de Janeiro,Masculino,6224.06
54,Fundamental,Casado,2446.16,São Paulo,Feminino,6265.77
52,Fundamental,Solteiro,3180.07,Belo Horizonte,Masculino,3374.16
61,Fundamental,Solteiro,2901.66,Porto Alegre,Feminino,5474.86
57,Superior,Divorciado,3024.6,Belo Horizonte,Masculino,6817.62
39,Médio,Divorciado,2373.86,Belo Horizonte,Feminino,3829.9
44,Médio,Solteiro,2040.99,Rio de Janeiro,Masculino,4894.02
52,Fundamental,Solteiro,2438.31,São Paulo,Masculino,5451.73
18,Médio,Divorciado,983.75,Salvador,Feminino,1353.58
52,Médio,Divorciado,2942.22,Rio de Janeiro,Feminino,4267.84
54,Superior,Solteiro,3059.48,Porto Alegre,Masculino,8741.77
64,Médio,Divorciado,2674.37,Belo Horizonte,Feminino,3948.53
31,Fundamental,Divorciado,2124.85,Porto Alegre,Feminino,1783.39
20,Médio,Solteiro,1285.68,Rio de Janeiro,Feminino,3279.67
18,Médio,Solteiro,1243.92,Rio de Janeiro,Masculino,4359.13
22,Médio,Casado,1546.29,Salvador,Feminino,3661.19
43,Pós-graduação,Solteiro,2930.74,Belo Horizonte,Masculino,6126.05
31,Superior,Divorciado,2233.97,Rio de Janeiro,Feminino,6146.58
56,Médio,Solteiro,2620.55,Porto Alegre,Feminino,4255.39
44,Médio,Solteiro,2287.64,Salvador,Masculino,4390.29
26,Médio,Solteiro,1382.61,Porto Alegre,Feminino,3006.74
32,Médio,Casado,1886.7,Belo Horizonte,Feminino,2905.96
32,Superior,Casado,2634.2,Salvador,Feminino,4450.87
43,Superior,Divorciado,3014.23,Salvador,Feminino,3450.87
59,Fundamental,Casado,2620.74,Salvador,Feminino,4728.47
30,Médio,Solteiro,1843.35,São Paulo,Feminino,4423.56
68,Médio,Casado,2965.65,Salvador,Feminino,3991.5
49,Superior,Solteiro,2552.49,Porto Alegre,Masculino,5613.29
56,Superior,Casado,3017.95,Porto Alegre,Masculino,6044.74
66,Médio,Casado,3218.87,Belo Horizonte,Masculino,3446.52
69,Fundamental,Casado,3313.63,Rio de Janeiro,Masculino,5678.47
49,Superior,Solteiro,3093.57,Rio de Janeiro,Masculino,6146.98
21,Fundamental,Casado,831.64,São Paulo,Feminino,4229.74
47,Médio,Solteiro,2175.55,Salvador,Masculino,5595.22
54,Fundamental,Solteiro,2760.28,São Paulo,Masculino,5747.21
40,Superior,Divorciado,3213.72,Belo Horizonte,Feminino,6659.59
56,Médio,Casado,2675.63,Belo Horizonte,Masculino,4577.53
62,Médio,Divorciado,2888.76,Rio de Janeiro,Feminino,6471.24
32,Superior,Divorciado,2426.05,Belo Horizonte,Feminino,5166.8
60,Médio,Solteiro,2408.04,Salvador,Masculino,7411.44
46,Médio,Casado,2485.58,Porto Alegre,Masculino,4147.65
53,Médio,Solteiro,2133.6,Belo Horizonte,Feminino,5432.48
30,Fundamental,Solteiro,1874.43,São Paulo,Feminino,4702.72
49,Superior,Casado,2996.71,Salvador,Masculino,7075.61
24,Fundamental,Solteiro,1734.79,Belo Horizonte,Feminino,3832.15
68,Médio,Casado,2650.48,Belo Horizonte,Masculino,5740.74
39,Médio,Casado,1957.29,Salvador,Masculino,2808.35
45,Superior,Solteiro,3056.62,Belo Horizonte,Masculino,4696.45
19,Superior,Solteiro,2091.86,Porto Alegre,Masculino,3833.87
59,Médio,Divorciado,2559.26,Rio de Janeiro,Feminino,5657.49
62,Fundamental,Solteiro,2538.66,Salvador,Feminino,5211.15
23,Superior,Casado,2430.84,São Paulo,Masculino,5036.27
45,Médio,Divorciado,2360.31,Belo Horizonte,Masculino,2272.8
45,Superior,Casado,2510.77,Rio de Janeiro,Feminino,7777.38
61,Superior,Divorciado,3273.4,São Paulo,Feminino,7997.3
61,Superior,Solteiro,3088.17,São Paulo,Feminino,7610.25
37,Médio,Solteiro,2200.41,Porto Alegre,Feminino,5103.86
47,Médio,Solteiro,2786.09,Rio de Janeiro,Feminino,4546.34
28,Superior,Casado,2015.75,Salvador,Masculino,4769.1
45,Médio,Divorciado,2397.15,Rio de Janeiro,Masculino,5409.54
42,Fundamental,Casado,2301.7,Rio de Janeiro,Masculino,4684.83
56,Superior,Divorciado,2536.64,São Paulo,Masculino,6504.34
50,Superior,Solteiro,3249.78,Porto Alegre,Feminino,6874.77
18,Médio,Casado,2169.68,Porto Alegre,Feminino,3184.01
44,Fundamental,Solteiro,2361.41,Rio de Janeiro,Masculino,5824.02
69,Médio,Casado,3477.89,Rio de Janeiro,Masculino,5626.37
30,Superior,Solteiro,2023.63,Belo Horizonte,Feminino,5829.98
58,Pós-graduação,Casado,3524.37,São Paulo,Masculino,8276.73
20,Médio,Casado,1621.37,Salvador,Masculino,3247.22
56,Fundamental,Divorciado,2423.9,Salvador,Feminino,6779.59
23,Superior,Solteiro,2201.43,Porto Alegre,Feminino,5502.08
25,Médio,Divorciado,2051.01,São Paulo,Feminino,4589.22
44,Médio,Divorciado,2055.08,Porto Alegre,Masculino,5550.5
26,Pós-graduação,Solteiro,3094.26,Salvador,Feminino,5730.34
54,Fundamental,Casado,2043.01,Rio de Janeiro,Feminino,6190.65
50,Superior,Divorciado,2829.37,São Paulo,Masculino,6168.15
68,Fundamental,Solteiro,2980.92,São Paulo,Feminino,6038.25
59,Médio,Casado,2491.91,Belo Horizonte,Masculino,6540.72
61,Superior,Divorciado,3163.56,Rio de Janeiro,Masculino,7823.66
41,Médio,Divorciado,2648.84,Rio de Janeiro,Masculino,6457.17
32,Pós-graduação,Divorciado,3331.98,Porto Alegre,Masculino,6497.39
49,Médio,Casado,2686.01,São Paulo,Feminino,6670.8
49,Médio,Divorciado,2782.36,Porto Alegre,Masculino,4501.73
41,Médio,Casado,2043.89,Rio de Janeiro,Feminino,5183.78
58,Médio,Divorciado,2373.15,Belo Horizonte,Feminino,4924.19
69,Médio,Solteiro,2827.72,São Paulo,Feminino,6810.57
66,Fundamental,Divorciado,2782.29,Rio de Janeiro,Feminino,6041.13
66,Médio,Solteiro,2797.15,Belo Horizonte,Feminino,3910.91
69,Médio,Solteiro,3228.44,Salvador,Masculino,5414.29
29,Superior,Solteiro,2466.95,Rio de Janeiro,Feminino,6082.41
56,Superior,Casado,3127.3,Salvador,Masculino,7934.87
19,Superior,Solteiro,2035.78,Porto Alegre,Masculino,2189.52
20,Fundamental,Divorciado,1928.48,Salvador,Masculino,4617.35
66,Médio,Casado,2592.45,Rio de Janeiro,Feminino,7348.27
54,Superior,Solteiro,3356.9,Salvador,Feminino,6885.62
66,Médio,Casado,2346.61,São Paulo,Feminino,6454.25
34,Fundamental,Casado,1850.23,Rio de Janeiro,Feminino,3679.7
66,Superior,Casado,3933.18,Belo Horizonte,Masculino,8750.82
19,Superior,Divorciado,2160.25,Salvador,Feminino,5684.64
19,Médio,Solteiro,1430.01,São Paulo,Feminino,4200.78
45,Fundamental,Casado,2624.6,Porto Alegre,Masculino,4535.67
40,Superior,Casado,2878.53,Porto Alegre,Masculino,5391.18
54,Médio,Casado,2786.38,Salvador,Masculino,5294.4
49,Superior,Solteiro,2909.59,Porto Alegre,Masculino,5905.65
50,Superior,Casado,3287.98,Belo Horizonte,Masculino,6307.9
18,Superior,Casado,1846.83,Rio de Janeiro,Masculino,5838.0
36,Médio,Divorciado,1872.64,São Paulo,Masculino,7230.3
19,Fundamental,Solteiro,2132.28,Salvador,Feminino,2039.82
61,Superior,Divorciado,3180.03,Porto Alegre,Feminino,6709.97
43,Superior,Solteiro,2180.45,Rio de Janeiro,Masculino,7877.45
49,Superior,Solteiro,3288.75,Belo Horizonte,Masculino,6776.68
23,Fundamental,Solteiro,2098.39,Porto Alegre,Feminino,3827.45
49,Fundamental,Divorciado,2399.27,Porto Alegre,Masculino,7461.32
21,Superior,Divorciado,1501.68,São Paulo,Masculino,6637.91
28,Superior,Divorciado,2323.43,Belo Horizonte,Masculino,4275.23
34,Pós-graduação,Divorciado,3641.69,Belo Horizonte,Masculino,5960.43
55,Superior,Casado,3210.77,Salvador,Masculino,6211.67
41,Médio,Casado,2460.81,São Paulo,Feminino,4613.77
22,Superior,Casado,2408.04,Salvador,Masculino,4679.34
69,Superior,Solteiro,3861.39,São Paulo,Masculino,8288.0
51,Médio,Casado,3088.76,Belo Horizonte,Masculino,4823.38
23,Superior,Solteiro,2514.04,São Paulo,Feminino,3192.73
39,Fundamental,Divorciado,2145.78,São Paulo,Feminino,4194.39
28,Médio,Solteiro,1505.24,São Paulo,Masculino,5116.01
65,Superior,Solteiro,3578.91,Rio de Janeiro,Masculino,9393.63
33,Médio,Casado,1931.96,Rio de Janeiro,Masculino,4246.29
50,Médio,Divorciado,2715.04,Belo Horizonte,Masculino,4101.16
26,Médio,Divorciado,1521.14,São Paulo,Feminino,4210.85
23,Médio,Casado,1599.82,Belo Horizonte,Feminino,4874.65
33,Médio,Divorciado,1993.35,Rio de Janeiro,Masculino,4703.72
46,Médio,Divorciado,2098.24,São Paulo,Masculino,3058.26
20,Pós-graduação,Divorciado,2611.96,Salvador,Feminino,7787.64
37,Médio,Casado,2346.06,Rio de Janeiro,Feminino,5541.64
53,Fundamental,Divorciado,3163.04,Rio de Janeiro,Masculino,4356.96
36,Fundamental,Solteiro,1859.41,Rio de Janeiro,Masculino,4288.81
43,Superior,Solteiro,3061.75,São Paulo,Masculino,5854.42
20,Médio,Divorciado,1006.6,Porto Alegre,Feminino,2791.05
36,Superior,Casado,2577.74,Salvador,Feminino,6787.11
37,Superior,Casado,2631.19,Salvador,Feminino,3482.96
49,Superior,Casado,3214.26,Belo Horizonte,Feminino,5606.59
24,Médio,Divorciado,1564.1,São Paulo,Masculino,4311.15
69,Superior,Divorciado,3643.43,Rio de Janeiro,Feminino,7880.59
58,Médio,Solteiro,3072.53,Porto Alegre,Feminino,4103.3
50,Pós-graduação,Casado,3161.83,São Paulo,Feminino,9689.93
57,Superior,Solteiro,2622.44,São Paulo,Masculino,7191.21
56,Médio,Solteiro,3003.86,Porto Alegre,Feminino,4512.79
35,Médio,Casado,1750.75,Rio de Janeiro,Feminino,5096.15
57,Fundamental,Divorciado,2847.09,São Paulo,Feminino,5569.72
18,Superior,Divorciado,2625.03,Salvador,Masculino,3846.31
28,Médio,Solteiro,2090.91,Salvador,Feminino,2474.48
45,Médio,Solteiro,2058.6,Porto Alegre,Masculino,6440.06
42,Médio,Solteiro,1821.33,Rio de Janeiro,Masculino,5893.25
67,Superior,Solteiro,3276.46,Porto Alegre,Feminino,6467.68
40,Superior,Casado,2751.85,São Paulo,Masculino,7771.35
48,Superior,Solteiro,2865.03,Salvador,Feminino,6423.48
47,Superior,Solteiro,3318.56,Belo Horizonte,Masculino,5888.51
59,Fundamental,Divorciado,2970.14,Porto Alegre,Masculino,3920.95
52,Fundamental,Divorciado,2340.81,Belo Horizonte,Feminino,3772.21
24,Superior,Divorciado,2473.82,Belo Horizonte,Feminino,5668.47
33,Médio,Casado,2441.93,Salvador,Masculino,4402.24
43,Médio,Casado,2195.47,Porto Alegre,Masculino,2777.03
65,Fundamental,Divorciado,3093.87,Belo Horizonte,Masculino,4842.34
69,Médio,Divorciado,2807.63,São Paulo,Masculino,7129.96
66,Fundamental,Solteiro,2937.48,Rio de Janeiro,Feminino,7412.4
19,Superior,Solteiro,1802.4,Rio de Janeiro,Masculino,5964.43
18,Médio,Casado,1911.79,Salvador,Masculino,2443.67
65,Médio,Casado,2799.47,Porto Alegre,Feminino,5486.0
29,Fundamental,Solteiro,2002.01,Porto Alegre,Masculino,3239.22
22,Superior,Divorciado,2350.57,Rio de Janeiro,Feminino,5982.0
54,Médio,Solteiro,3552.72,São Paulo,Feminino,7178.09
49,Superior,Casado,2890.28,Rio de Janeiro,Feminino,6167.77
26,Superior,Casado,2046.86,Rio de Janeiro,Masculino,6080.99
58,Médio,Solteiro,2718.33,Porto Alegre,Feminino,4803.27
52,Pós-graduação,Solteiro,3304.85,Belo Horizonte,Feminino,7337.19
36,Pós-graduação,Solteiro,2933.76,São Paulo,Feminino,7660.16
65,Superior,Casado,3668.22,Porto Alegre,Masculino,8063.59
33,Superior,Divorciado,2288.49,Rio de Janeiro,Masculino,6729.52
20,Médio,Solteiro,1768.59,Belo Horizonte,Masculino,2520.85
37,Médio,Casado,2288.93,São Paulo,Masculino,5499.63
41,Fundamental,Casado,2304.81,Salvador,Feminino,3491.22
50,Fundamental,Casado,2700.85,São Paulo,Feminino,3710.77
41,Pós-graduação,Solteiro,3141.68,São Paulo,Feminino,5745.37
69,Médio,Solteiro,2469.18,Rio de Janeiro,Masculino,6950.78
28,Superior,Divorciado,2357.78,Rio de Janeiro,Feminino,5615.58
66,Superior,Casado,3503.49,Salvador,Masculino,7797.44
25,Superior,Solteiro,2138.95,Salvador,Masculino,5137.12
53,Pós-graduação,Casado,3784.36,Salvador,Masculino,7910.53
55,Médio,Casado,2879.29,Porto Alegre,Feminino,4299.1
57,Fundamental,Divorciado,2775.45,Porto Alegre,Feminino,5371.64
37,Médio,Solteiro,2139.59,Rio de Janeiro,Masculino,6401.77
52,Fundamental,Solteiro,2925.63,Rio de Janeiro,Feminino,3580.73
65,Fundamental,Casado,2627.8,Salvador,Masculino,5100.21
42,Médio,Casado,2160.59,Porto Alegre,Feminino,5445.18
52,Superior,Divorciado,3359.35,Belo Horizonte,Masculino,4954.51
42,Médio,Divorciado,2420.73,Porto Alegre,Masculino,4233.51
46,Médio,Divorciado,2309.49,Rio de Janeiro,Masculino,4616.67
35,Superior,Divorciado,2667.17,Porto Alegre,Feminino,4982.38
63,Médio,Divorciado,2725.54,Rio de Janeiro,Feminino,4376.79
35,Fundamental,Divorciado,2098.38,Salvador,Feminino,4734.73
19,Superior,Casado,2276.42,Salvador,Feminino,4600.6
52,Superior,Divorciado,3447.56,Salvador,Feminino,4655.59
33,Superior,Casado,2688.27,Belo Horizonte,Masculino,5568.62
58,Fundamental,Casado,3149.09,Belo Horizonte,Feminino,5108.0
53,Superior,Solteiro,2657.21,Rio de Janeiro,Masculino,6461.17
50,Superior,Casado,2336.19,São Paulo,Feminino,8968.2
21,Médio,Casado,975.26,Belo Horizonte,Feminino,3566.1
50,Superior,Divorciado,3334.82,Rio de Janeiro,Feminino,8290.22
31,Superior,Casado,2611.11,Porto Alegre,Masculino,4888.87
38,Médio,Divorciado,1924.51,Salvador,Feminino,2274.98
65,Médio,Divorciado,2834.53,Salvador,Masculino,2926.4
37,Pós-graduação,Divorciado,3210.94,Salvador,Feminino,5836.12
25,Superior,Solteiro,2033.01,Rio de Janeiro,Masculino,7097.87
24,Médio,Divorciado,1474.84,Salvador,Masculino,2690.16
20,Superior,Casado,1903.63,Belo Horizonte,Masculino,5541.2
34,Médio,Divorciado,1797.85,Porto Alegre,Masculino,2533.56
50,Médio,Divorciado,2513.26,Salvador,Feminino,3837.42
65,Médio,Divorciado,3448.91,Rio de Janeiro,Feminino,5731.51
29,Pós-graduação,Solteiro,2567.87,Porto Alegre,Masculino,6675.16
68,Pós-graduação,Casado,4018.03,Salvador,Feminino,7047.81
39,Médio,Solteiro,2308.18,São Paulo,Masculino,4155.63
39,Médio,Casado,2330.67,Salvador,Feminino,3716.85
63,Médio,Solteiro,2738.24,Belo Horizonte,Feminino,3807.12
47,Pós-graduação,Casado,3595.61,Porto Alegre,Feminino,5590.41
55,Pós-graduação,Solteiro,3776.01,Belo Horizonte,Masculino,7778.56
55,Superior,Divorciado,3014.62,São Paulo,Feminino,5922.51
62,Superior,Solteiro,2954.18,São Paulo,Masculino,8814.6
68,Superior,Solteiro,3197.01,Belo Horizonte,Feminino,8142.1
25,Médio,Divorciado,1973.76,Porto Alegre,Masculino,2666.56
44,Fundamental,Divorciado,2748.12,São Paulo,Feminino,5802.02
44,Médio,Casado,2320.23,São Paulo,Masculino,5269.04
51,Superior,Casado,3450.57,Salvador,Masculino,7117.8
38,Superior,Casado,2624.29,Rio de Janeiro,Masculino,5941.73
47,Médio,Solteiro,2066.66,São Paulo,Feminino,5860.43
50,Pós-graduação,Casado,3437.16,Porto Alegre,Masculino,7811.79
45,Fundamental,Solteiro,2797.56,Porto Alegre,Feminino,4510.81
64,Médio,Solteiro,2738.96,Salvador,Masculino,4584.1
50,Superior,Casado,2959.21,Porto Alegre,Masculino,7185.71
22,Superior,Casado,2515.69,Salvador,Masculino,4192.04
65,Superior,Solteiro,3785.04,São Paulo,Feminino,7335.88
36,Médio,Divorciado,2171.78,São Paulo,Feminino,4079.84
21,Fundamental,Divorciado,1790.39,São Paulo,Feminino,3390.22
52,Superior,Solteiro,3378.85,São Paulo,Feminino,6860.27
66,Médio,Casado,3072.57,Rio de Janeiro,Feminino,6749.75
34,Fundamental,Solteiro,2404.15,Rio de Janeiro,Feminino,5483.35
61,Superior,Solteiro,3531.58,São Paulo,Feminino,7678.64
45,Médio,Casado,2305.63,Porto Alegre,Masculino,5666.27
47,Superior,Divorciado,3040.36,Salvador,Masculino,5967.67
46,Superior,Solteiro,2764.37,Belo Horizonte,Feminino,4004.45
63,Fundamental,Divorciado,2600.34,Salvador,Feminino,3995.54
23,Fundamental,Divorciado,1347.57,Belo Horizonte,Feminino,3850.02
52,Superior,Casado,2998.02,Belo Horizonte,Feminino,5774.64
58,Superior,Solteiro,3333.89,São Paulo,Feminino,7006.26
54,Superior,Solteiro,3660.32,Belo Horizonte,Masculino,5235.53
41,Superior,Divorciado,2854.82,São Paulo,Feminino,6149.74
46,Superior,Divorciado,2937.45,Rio de Janeiro,Feminino,6414.59
66,Pós-graduação,Casado,3950.11,Porto Alegre,Feminino,8790.6
63,Médio,Divorciado,2782.79,Belo Horizonte,Masculino,4905.37
48,Médio,Casado,2479.23,Porto Alegre,Masculino,5676.5
52,Médio,Solteiro,2477.27,São Paulo,Masculino,4945.05
50,Fundamental,Casado,2402.54,Belo Horizonte,Masculino,4704.43
69,Médio,Divorciado,3316.23,Salvador,Feminino,3794.23
38,Médio,Solteiro,1867.76,Rio de Janeiro,Masculino,5558.99
49,Pós-graduação,Casado,3395.02,Rio de Janeiro,Masculino,7029.21
40,Médio,Solteiro,1993.72,Belo Horizonte,Masculino,4570.03
50,Médio,Casado,2535.28,Rio de Janeiro,Masculino,3659.36
20,Médio,Divorciado,1856.13,Salvador,Masculino,1966.46
35,Fundamental,Divorciado,2155.0,Porto Alegre,Feminino,4587.87
42,Fundamental,Solteiro,2193.73,Salvador,Masculino,5664.32
59,Médio,Solteiro,3052.11,Rio de Janeiro,Masculino,3233.69
48,Fundamental,Solteiro,2704.81,Porto Alegre,Masculino,3310.17
20,Superior,Casado,2111.85,Salvador,Feminino,6329.54
57,Superior,Divorciado,3687.9,São Paulo,Feminino,7492.02
