cidade,data,temperatura_maxima,temperatura_minima
Brasília,2020-03-25 19:37:41.600710,31.05,25.65
Manaus,2020-03-25 19:37:41.600710,35.88,0.74
São Paulo,2020-03-26 19:37:41.600710,33.06,22.96
Rio de Janeiro,2020-03-26 19:37:41.600710,35.91,-2.34
Belo Horizonte,2020-03-26 19:37:41.600710,21.05,7.61
Porto Alegre,2020-03-26 19:37:41.600710,27.22,-6.95
Salvador,2020-03-26 19:37:41.600710,37.97,12.32
Curitiba,2020-03-26 19:37:41.600710,24.84,5.3
Fortaleza,2020-03-26 19:37:41.600710,17.12,16.43
Recife,2020-03-26 19:37:41.600710,19.39,19.25
Brasília,2020-03-26 19:37:41.600710,29.58,22.5
Manaus,2020-03-26 19:37:41.600710,27.47,24.5
São Paulo,2020-03-27 19:37:41.600710,38.77,-1.35
Rio de Janeiro,2020-03-27 19:37:41.600710,30.58,30.43
Belo Horizonte,2020-03-27 19:37:41.600710,35.46,-8.62
Porto Alegre,2020-03-27 19:37:41.600710,37.06,-2.84
Salvador,2020-03-27 19:37:41.600710,22.44,18.46
Curitiba,2020-03-27 19:37:41.600710,16.6,2.97
Fortaleza,2020-03-27 19:37:41.600710,23.28,5.62
Recife,2020-03-27 19:37:41.600710,23.05,19.48
Brasília,2020-03-27 19:37:41.600710,22.07,5.2
Manaus,2020-03-27 19:37:41.600710,16.37,-9.52
São Paulo,2020-03-28 19:37:41.600710,37.65,-9.63
Rio de Janeiro,2020-03-28 19:37:41.600710,38.93,20.15
Belo Horizonte,2020-03-28 19:37:41.600710,26.4,-5.24
Porto Alegre,2020-03-28 19:37:41.600710,38.55,15.18
Salvador,2020-03-28 19:37:41.600710,29.72,3.8
Curitiba,2020-03-28 19:37:41.600710,29.17,25.84
Fortaleza,2020-03-28 19:37:41.600710,26.49,0.69
Recife,2020-03-28 19:37:41.600710,33.02,8.08
Brasília,2020-03-28 19:37:41.600710,36.51,28.51
Manaus,2020-03-28 19:37:41.600710,26.3,-4.42
São Paulo,2020-03-29 19:37:41.600710,34.7,28.74
Rio de Janeiro,2020-03-29 19:37:41.600710,21.47,10.23
Belo Horizonte,2020-03-29 19:37:41.600710,32.65,18.97
Porto Alegre,2020-03-29 19:37:41.600710,16.76,12.9
Salvador,2020-03-29 19:37:41.600710,25.12,8.55
Curitiba,2020-03-29 19:37:41.600710,16.46,6.17
Fortaleza,2020-03-29 19:37:41.600710,37.58,7.91
Recife,2020-03-29 19:37:41.600710,24.73,8.07
Brasília,2020-03-29 19:37:41.600710,32.45,5.3
Manaus,2020-03-29 19:37:41.600710,25.94,18.13
São Paulo,2020-03-30 19:37:41.600710,16.42,4.5
Rio de Janeiro,2020-03-30 19:37:41.600710,22.47,2.67
Belo Horizonte,2020-03-30 19:37:41.600710,28.12,1.72
Porto Alegre,2020-03-30 19:37:41.600710,20.99,9.01
Salvador,2020-03-30 19:37:41.600710,31.5,27.0
Curitiba,2020-03-30 19:37:41.600710,18.3,-6.61
Fortaleza,2020-03-30 19:37:41.600710,18.75,8.37
Recife,2020-03-30 19:37:41.600710,33.32,13.13
Brasília,2020-03-30 19:37:41.600710,30.73,27.62
Manaus,2020-03-30 19:37:41.600710,37.45,12.76
São Paulo,2020-03-31 19:37:41.600710,26.49,-5.66
Rio de Janeiro,2020-03-31 19:37:41.600710,30.16,-1.9
Belo Horizonte,2020-03-31 19:37:41.600710,33.33,12.32
Porto Alegre,2020-03-31 19:37:41.600710,18.68,6.56
Salvador,2020-03-31 19:37:41.600710,32.05,31.66
Curitiba,2020-03-31 19:37:41.600710,19.32,-4.67
Fortaleza,2020-03-31 19:37:41.600710,28.94,26.79
Recife,2020-03-31 19:37:41.600710,19.33,13.6
Brasília,2020-03-31 19:37:41.600710,20.22,-4.23
Manaus,2020-03-31 19:37:41.600710,37.97,15.34
São Paulo,2020-04-01 19:37:41.600710,38.5,10.02
Rio de Janeiro,2020-04-01 19:37:41.600710,35.22,28.29
Belo Horizonte,2020-04-01 19:37:41.600710,38.61,1.96
Porto Alegre,2020-04-01 19:37:41.600710,23.77,10.73
Salvador,2020-04-01 19:37:41.600710,26.33,4.19
Curitiba,2020-04-01 19:37:41.600710,23.9,16.42
Fortaleza,2020-04-01 19:37:41.600710,35.69,28.99
Recife,2020-04-01 19:37:41.600710,19.3,15.74
Brasília,2020-04-01 19:37:41.600710,35.56,-1.1
Manaus,2020-04-01 19:37:41.600710,34.71,17.91
São Paulo,2020-04-02 19:37:41.600710,25.95,-9.45
Rio de Janeiro,2020-04-02 19:37:41.600710,29.82,9.02
Belo Horizonte,2020-04-02 19:37:41.600710,29.05,-4.99
Porto Alegre,2020-04-02 19:37:41.600710,19.82,2.42
Salvador,2020-04-02 19:37:41.600710,34.06,7.58
Curitiba,2020-04-02 19:37:41.600710,32.42,17.43
Fortaleza,2020-04-02 19:37:41.600710,20.26,8.97
Recife,2020-04-02 19:37:41.600710,32.62,20.88
Brasília,2020-04-02 19:37:41.600710,37.02,7.75
Manaus,2020-04-02 19:37:41.600710,19.94,10.04
São Paulo,2020-04-03 19:37:41.600710,21.64,5.56
Rio de Janeiro,2020-04-03 19:37:41.600710,16.81,0.79
Belo Horizonte,2020-04-03 19:37:41.600710,20.96,-4.5
Porto Alegre,2020-04-03 19:37:41.600710,32.29,-8.21
Salvador,2020-04-03 19:37:41.600710,27.25,22.36
Curitiba,2020-04-03 19:37:41.600710,21.49,0.68
Fortaleza,2020-04-03 19:37:41.600710,18.75,5.4
Recife,2020-04-03 19:37:41.600710,29.3,24.59
Brasília,2020-04-03 19:37:41.600710,36.02,32.78
Manaus,2020-04-03 19:37:41.600710,20.59,-5.48
São Paulo,2020-04-04 19:37:41.600710,32.93,5.51
Rio de Janeiro,2020-04-04 19:37:41.600710,28.37,0.38
Belo Horizonte,2020-04-04 19:37:41.600710,39.37,11.02
Porto Alegre,2020-04-04 19:37:41.600710,30.44,21.42
Salvador,2020-04-04 19:37:41.600710,21.19,-0.58
Curitiba,2020-04-04 19:37:41.600710,23.6,2.95
Fortaleza,2020-04-04 19:37:41.600710,29.38,20.68
Recife,2020-04-04 19:37:41.600710,28.42,22.23
Brasília,2020-04-04 19:37:41.600710,32.33,11.63
Manaus,2020-04-04 19:37:41.600710,23.18,10.3
São Paulo,2020-04-05 19:37:41.600710,20.53,18.41
Rio de Janeiro,2020-04-05 19:37:41.600710,36.97,15.75
Belo Horizonte,2020-04-05 19:37:41.600710,19.99,4.97
Porto Alegre,2020-04-05 19:37:41.600710,26.75,13.29
Salvador,2020-04-05 19:37:41.600710,38.79,16.66
Curitiba,2020-04-05 19:37:41.600710,16.27,12.87
Fortaleza,2020-04-05 19:37:41.600710,20.04,-6.21
Recife,2020-04-05 19:37:41.600710,28.3,9.18
Brasília,2020-04-05 19:37:41.600710,29.85,17.8
Manaus,2020-04-05 19:37:41.600710,21.52,-9.49
São Paulo,2020-04-06 19:37:41.600710,24.44,-5.26
Rio de Janeiro,2020-04-06 19:37:41.600710,22.75,9.84
Belo Horizonte,2020-04-06 19:37:41.600710,26.75,22.88
Porto Alegre,2020-04-06 19:37:41.600710,21.32,12.28
Salvador,2020-04-06 19:37:41.600710,35.15,14.98
Curitiba,2020-04-06 19:37:41.600710,29.7,16.56
Fortaleza,2020-04-06 19:37:41.600710,24.68,-4.24
Recife,2020-04-06 19:37:41.600710,37.49,-3.22
Brasília,2020-04-06 19:37:41.600710,19.26,-7.17
Manaus,2020-04-06 19:37:41.600710,19.56,19.21
São Paulo,2020-04-07 19:37:41.600710,36.62,32.63
Rio de Janeiro,2020-04-07 19:37:41.600710,18.14,12.57
Belo Horizonte,2020-04-07 19:37:41.600710,26.12,15.1
Porto Alegre,2020-04-07 19:37:41.600710,25.17,5.02
Salvador,2020-04-07 19:37:41.600710,29.31,8.45
Curitiba,2020-04-07 19:37:41.600710,28.76,21.17
Fortaleza,2020-04-07 19:37:41.600710,21.21,-9.35
Recife,2020-04-07 19:37:41.600710,19.04,3.02
Brasília,2020-04-07 19:37:41.600710,26.68,16.68
Manaus,2020-04-07 19:37:41.600710,30.82,26.0
São Paulo,2020-04-08 19:37:41.600710,35.81,31.03
Rio de Janeiro,2020-04-08 19:37:41.600710,35.63,10.8
Belo Horizonte,2020-04-08 19:37:41.600710,32.69,-4.26
Porto Alegre,2020-04-08 19:37:41.600710,27.95,4.78
Salvador,2020-04-08 19:37:41.600710,30.43,-5.0
Curitiba,2020-04-08 19:37:41.600710,16.88,16.15
Fortaleza,2020-04-08 19:37:41.600710,24.25,0.12
Recife,2020-04-08 19:37:41.600710,37.51,-2.66
Brasília,2020-04-08 19:37:41.600710,37.96,36.15
Manaus,2020-04-08 19:37:41.600710,19.37,-3.26
São Paulo,2020-04-09 19:37:41.600710,15.07,2.55
Rio de Janeiro,2020-04-09 19:37:41.600710,29.16,14.65
Belo Horizonte,2020-04-09 19:37:41.600710,20.52,3.34
Porto Alegre,2020-04-09 19:37:41.600710,33.88,25.64
Salvador,2020-04-09 19:37:41.600710,29.59,22.42
Curitiba,2020-04-09 19:37:41.600710,39.02,34.45
Fortaleza,2020-04-09 19:37:41.600710,27.63,15.18
Recife,2020-04-09 19:37:41.600710,25.84,14.62
Brasília,2020-04-09 19:37:41.600710,35.92,8.89
Manaus,2020-04-09 19:37:41.600710,18.94,17.93
São Paulo,2020-04-10 19:37:41.600710,36.83,-3.7
Rio de Janeiro,2020-04-10 19:37:41.600710,27.51,18.1
Belo Horizonte,2020-04-10 19:37:41.600710,16.65,8.73
Porto Alegre,2020-04-10 19:37:41.600710,35.07,20.14
Salvador,2020-04-10 19:37:41.600710,15.06,6.95
Curitiba,2020-04-10 19:37:41.600710,29.42,19.07
Fortaleza,2020-04-10 19:37:41.600710,31.48,1.39
Recife,2020-04-10 19:37:41.600710,37.9,-2.95
Brasília,2020-04-10 19:37:41.600710,16.97,7.71
Manaus,2020-04-10 19:37:41.600710,24.78,-1.83
São Paulo,2020-04-11 19:37:41.600710,28.38,6.12
Rio de Janeiro,2020-04-11 19:37:41.600710,25.09,18.11
Belo Horizonte,2020-04-11 19:37:41.600710,20.96,7.32
Porto Alegre,2020-04-11 19:37:41.600710,25.95,10.8
Salvador,2020-04-11 19:37:41.600710,30.56,20.06
Curitiba,2020-04-11 19:37:41.600710,18.63,-2.12
Fortaleza,2020-04-11 19:37:41.600710,35.56,13.19
Recife,2020-04-11 19:37:41.600710,21.21,-5.61
Brasília,2020-04-11 19:37:41.600710,29.25,-0.42
Manaus,2020-04-11 19:37:41.600710,20.66,14.15
São Paulo,2020-04-12 19:37:41.600710,26.9,12.55
Rio de Janeiro,2020-04-12 19:37:41.600710,33.92,11.92
Belo Horizonte,2020-04-12 19:37:41.600710,23.18,16.25
Porto Alegre,2020-04-12 19:37:41.600710,16.72,5.66
Salvador,2020-04-12 19:37:41.600710,16.93,-1.79
Curitiba,2020-04-12 19:37:41.600710,27.06,9.8
Fortaleza,2020-04-12 19:37:41.600710,35.27,14.36
Recife,2020-04-12 19:37:41.600710,24.7,17.66
Brasília,2020-04-12 19:37:41.600710,22.22,9.46
Manaus,2020-04-12 19:37:41.600710,25.76,12.62
São Paulo,2020-04-13 19:37:41.600710,31.06,-1.08
Rio de Janeiro,2020-04-13 19:37:41.600710,21.98,11.28
Belo Horizonte,2020-04-13 19:37:41.600710,33.5,-5.28
Porto Alegre,2020-04-13 19:37:41.600710,18.53,16.8
Salvador,2020-04-13 19:37:41.600710,34.19,28.63
Curitiba,2020-04-13 19:37:41.600710,39.98,29.59
Fortaleza,2020-04-13 19:37:41.600710,18.47,-3.45
Recife,2020-04-13 19:37:41.600710,33.29,19.41
Brasília,2020-04-13 19:37:41.600710,15.4,7.17
Manaus,2020-04-13 19:37:41.600710,29.52,9.89
São Paulo,2020-04-14 19:37:41.600710,29.55,3.72
Rio de Janeiro,2020-04-14 19:37:41.600710,19.98,-3.44
Belo Horizonte,2020-04-14 19:37:41.600710,32.14,-1.11
Porto Alegre,2020-04-14 19:37:41.600710,37.36,14.86
Salvador,2020-04-14 19:37:41.600710,35.79,20.79
Curitiba,2020-04-14 19:37:41.600710,36.95,35.01
Fortaleza,2020-04-14 19:37:41.600710,31.9,24.64
Recife,2020-04-14 19:37:41.600710,30.98,20.64
Brasília,2020-04-14 19:37:41.600710,22.07,-1.06
Manaus,2020-04-14 19:37:41.600710,37.95,16.61
São Paulo,2020-04-15 19:37:41.600710,15.45,12.14
Rio de Janeiro,2020-04-15 19:37:41.600710,38.13,-2.11
Belo Horizonte,2020-04-15 19:37:41.600710,39.98,38.64
Porto Alegre,2020-04-15 19:37:41.600710,30.74,9.19
Salvador,2020-04-15 19:37:41.600710,32.18,-7.9
Curitiba,2020-04-15 19:37:41.600710,37.68,28.8
Fortaleza,2020-04-15 19:37:41.600710,27.62,9.02
Recife,2020-04-15 19:37:41.600710,37.27,1.44
Brasília,2020-04-15 19:37:41.600710,19.84,19.13
Manaus,2020-04-15 19:37:41.600710,38.04,35.37
São Paulo,2020-04-16 19:37:41.600710,35.27,15.95
Rio de Janeiro,2020-04-16 19:37:41.600710,18.87,-7.28
Belo Horizonte,2020-04-16 19:37:41.600710,16.95,7.8
Porto Alegre,2020-04-16 19:37:41.600710,26.51,1.7
Salvador,2020-04-16 19:37:41.600710,20.34,6.95
Curitiba,2020-04-16 19:37:41.600710,31.14,6.07
Fortaleza,2020-04-16 19:37:41.600710,21.64,17.8
Recife,2020-04-16 19:37:41.600710,16.2,6.87
Brasília,2020-04-16 19:37:41.600710,32.22,9.96
Manaus,2020-04-16 19:37:41.600710,28.61,2.12
São Paulo,2020-04-17 19:37:41.600710,38.0,-4.63
Rio de Janeiro,2020-04-17 19:37:41.600710,31.92,9.07
Belo Horizonte,2020-04-17 19:37:41.600710,15.76,6.31
Porto Alegre,2020-04-17 19:37:41.600710,16.32,-3.93
Salvador,2020-04-17 19:37:41.600710,25.41,18.49
Curitiba,2020-04-17 19:37:41.600710,20.83,2.6
Fortaleza,2020-04-17 19:37:41.600710,36.05,17.79
Recife,2020-04-17 19:37:41.600710,27.78,-7.37
Brasília,2020-04-17 19:37:41.600710,26.57,23.7
Manaus,2020-04-17 19:37:41.600710,35.6,27.98
São Paulo,2020-04-18 19:37:41.600710,15.45,-9.28
Rio de Janeiro,2020-04-18 19:37:41.600710,29.72,-1.75
Belo Horizonte,2020-04-18 19:37:41.600710,20.72,-8.74
Porto Alegre,2020-04-18 19:37:41.600710,18.96,5.66
Salvador,2020-04-18 19:37:41.600710,24.97,6.77
Curitiba,2020-04-18 19:37:41.600710,22.47,12.65
Fortaleza,2020-04-18 19:37:41.600710,16.48,-4.41
Recife,2020-04-18 19:37:41.600710,25.73,8.34
Brasília,2020-04-18 19:37:41.600710,27.22,-1.88
Manaus,2020-04-18 19:37:41.600710,29.08,13.4
São Paulo,2020-04-19 19:37:41.600710,22.25,-1.5
Rio de Janeiro,2020-04-19 19:37:41.600710,20.42,-6.38
Belo Horizonte,2020-04-19 19:37:41.600710,31.57,-0.23
Porto Alegre,2020-04-19 19:37:41.600710,33.87,-2.59
Salvador,2020-04-19 19:37:41.600710,17.61,-3.49
Curitiba,2020-04-19 19:37:41.600710,30.95,2.46
Fortaleza,2020-04-19 19:37:41.600710,39.14,1.94
Recife,2020-04-19 19:37:41.600710,20.93,10.5
Brasília,2020-04-19 19:37:41.600710,20.96,-8.22
Manaus,2020-04-19 19:37:41.600710,32.06,-9.03
São Paulo,2020-04-20 19:37:41.600710,31.7,9.21
Rio de Janeiro,2020-04-20 19:37:41.600710,19.37,-4.96
Belo Horizonte,2020-04-20 19:37:41.600710,17.92,4.79
Porto Alegre,2020-04-20 19:37:41.600710,32.2,0.65
Salvador,2020-04-20 19:37:41.600710,36.84,19.65
Curitiba,2020-04-20 19:37:41.600710,32.65,-5.83
Fortaleza,2020-04-20 19:37:41.600710,35.83,12.2
Recife,2020-04-20 19:37:41.600710,16.09,3.42
Brasília,2020-04-20 19:37:41.600710,39.11,-8.57
Manaus,2020-04-20 19:37:41.600710,18.98,1.7
São Paulo,2020-04-21 19:37:41.600710,26.12,7.52
Rio de Janeiro,2020-04-21 19:37:41.600710,25.77,11.84
Belo Horizonte,2020-04-21 19:37:41.600710,20.98,1.87
Porto Alegre,2020-04-21 19:37:41.600710,37.83,7.87
Salvador,2020-04-21 19:37:41.600710,36.65,30.31
Curitiba,2020-04-21 19:37:41.600710,39.88,37.92
Fortaleza,2020-04-21 19:37:41.600710,17.31,6.17
Recife,2020-04-21 19:37:41.600710,31.43,-3.78
Brasília,2020-04-21 19:37:41.600710,34.49,-7.72
Manaus,2020-04-21 19:37:41.600710,35.42,19.05
São Paulo,2020-04-22 19:37:41.600710,38.72,25.63
Rio de Janeiro,2020-04-22 19:37:41.600710,22.25,16.08
Belo Horizonte,2020-04-22 19:37:41.600710,32.73,30.8
Porto Alegre,2020-04-22 19:37:41.600710,35.33,-9.51
Salvador,2020-04-22 19:37:41.600710,16.03,9.45
Curitiba,2020-04-22 19:37:41.600710,27.26,3.13
Fortaleza,2020-04-22 19:37:41.600710,39.91,10.86
Recife,2020-04-22 19:37:41.600710,23.04,-0.13
Brasília,2020-04-22 19:37:41.600710,16.77,15.79
Manaus,2020-04-22 19:37:41.600710,30.57,26.3
São Paulo,2020-04-23 19:37:41.600710,35.96,9.52
Rio de Janeiro,2020-04-23 19:37:41.600710,37.49,-7.76
Belo Horizonte,2020-04-23 19:37:41.600710,25.31,-9.88
Porto Alegre,2020-04-23 19:37:41.600710,25.09,4.15
Salvador,2020-04-23 19:37:41.600710,16.26,11.45
Curitiba,2020-04-23 19:37:41.600710,19.57,18.21
Fortaleza,2020-04-23 19:37:41.600710,21.39,5.75
Recife,2020-04-23 19:37:41.600710,26.29,22.83
Brasília,2020-04-23 19:37:41.600710,23.66,4.9
Manaus,2020-04-23 19:37:41.600710,39.52,14.07
São Paulo,2020-04-24 19:37:41.600710,36.62,26.97
Rio de Janeiro,2020-04-24 19:37:41.600710,29.51,25.83
Belo Horizonte,2020-04-24 19:37:41.600710,24.77,18.1
Porto Alegre,2020-04-24 19:37:41.600710,33.91,27.13
Salvador,2020-04-24 19:37:41.600710,39.2,3.29
Curitiba,2020-04-24 19:37:41.600710,24.24,-3.88
Fortaleza,2020-04-24 19:37:41.600710,35.83,-0.11
Recife,2020-04-24 19:37:41.600710,18.41,2.82
Brasília,2020-04-24 19:37:41.600710,17.4,3.24
Manaus,2020-04-24 19:37:41.600710,38.93,14.87
São Paulo,2020-04-25 19:37:41.600710,22.71,11.3
Rio de Janeiro,2020-04-25 19:37:41.600710,16.03,-5.48
Belo Horizonte,2020-04-25 19:37:41.600710,35.03,28.95
Porto Alegre,2020-04-25 19:37:41.600710,17.95,12.48
Salvador,2020-04-25 19:37:41.600710,21.19,12.85
Curitiba,2020-04-25 19:37:41.600710,15.77,-2.39
Fortaleza,2020-04-25 19:37:41.600710,15.66,6.05
Recife,2020-04-25 19:37:41.600710,17.22,-6.91
Brasília,2020-04-25 19:37:41.600710,22.66,5.76
Manaus,2020-04-25 19:37:41.600710,18.35,14.23
São Paulo,2020-04-26 19:37:41.600710,18.89,17.91
Rio de Janeiro,2020-04-26 19:37:41.600710,32.05,-1.48
Belo Horizonte,2020-04-26 19:37:41.600710,23.65,-3.75
Porto Alegre,2020-04-26 19:37:41.600710,33.15,23.62
Salvador,2020-04-26 19:37:41.600710,38.26,36.06
Curitiba,2020-04-26 19:37:41.600710,24.3,19.48
Fortaleza,2020-04-26 19:37:41.600710,23.33,11.57
Recife,2020-04-26 19:37:41.600710,39.93,18.6
Brasília,2020-04-26 19:37:41.600710,31.75,28.06
Manaus,2020-04-26 19:37:41.600710,22.64,-3.67
São Paulo,2020-04-27 19:37:41.600710,33.77,15.93
Rio de Janeiro,2020-04-27 19:37:41.600710,26.89,5.86
Belo Horizonte,2020-04-27 19:37:41.600710,36.72,-6.91
Porto Alegre,2020-04-27 19:37:41.600710,17.94,8.64
Salvador,2020-04-27 19:37:41.600710,16.09,4.31
Curitiba,2020-04-27 19:37:41.600710,21.64,13.94
Fortaleza,2020-04-27 19:37:41.600710,28.41,23.22
Recife,2020-04-27 19:37:41.600710,33.4,10.2
Brasília,2020-04-27 19:37:41.600710,18.27,-4.16
Manaus,2020-04-27 19:37:41.600710,35.29,21.76
São Paulo,2020-04-28 19:37:41.600710,32.57,-6.26
Rio de Janeiro,2020-04-28 19:37:41.600710,33.72,12.82
Belo Horizonte,2020-04-28 19:37:41.600710,16.45,11.28
